"taz";"hhlds2015";"transittotal2015";"autototal2015";"hhlds2050";"transittotal2050";"autototal2050"
292.0;413.0;641;1129;413.0;831;1170
941.0;0.0;904;1234;0.0;1141;1329
52.0;693.0;52;909;2847.0;248;938
473.0;0.0;63;604;0.0;99;655
187.0;304.0;162;833;409.0;408;1012
501.0;234.0;153;854;236.0;220;1045
557.0;0.0;451;1208;332.0;906;1320
909.0;147.0;277;889;159.0;449;1077
683.0;1226.0;674;1152;1549.0;883;1199
835.0;0.0;589;1053;40.0;796;1184
955.0;0.0;896;1228;0.0;1107;1325
267.0;437.0;645;1123;457.0;890;1186
79.0;416.0;481;1141;505.0;607;1171
808.0;0.0;818;1238;0.0;996;1305
21.0;299.0;509;904;330.0;804;1091
807.0;0.0;841;1244;0.0;1041;1312
963.0;0.0;397;820;0.0;507;1008
476.0;239.0;124;835;240.0;181;926
539.0;16.0;534;1176;17.0;816;1264
553.0;305.0;598;909;333.0;780;1016
265.0;1224.0;657;1120;1288.0;945;1182
943.0;0.0;776;1261;0.0;1029;1355
771.0;300.0;695;1127;304.0;919;1229
232.0;1594.0;764;1169;1637.0;975;1300
515.0;219.0;239;842;218.0;452;1023
783.0;356.0;697;1167;364.0;895;1271
404.0;213.0;757;1002;244.0;992;1099
395.0;121.0;243;914;218.0;435;1017
793.0;412.0;693;1158;411.0;1019;1262
212.0;369.0;680;1115;375.0;924;1185
285.0;778.0;508;845;783.0;747;1027
590.0;139.0;721;1237;662.0;931;1332
613.0;249.0;445;855;267.0;631;1031
649.0;0.0;355;1225;389.0;894;1334
790.0;0.0;747;1203;0.0;938;1307
558.0;406.0;617;1217;1413.0;886;1328
385.0;0.0;0;0;0.0;0;0
939.0;0.0;895;1242;0.0;1126;1328
184.0;299.0;85;828;372.0;268;927
323.0;393.0;526;832;507.0;719;1009
507.0;247.0;196;852;250.0;425;1019
315.0;1080.0;429;848;1138.0;700;1007
166.0;554.0;564;1170;571.0;768;1284
462.0;855.0;379;913;863.0;549;1067
287.0;575.0;507;840;577.0;729;1019
120.0;528.0;570;992;593.0;793;1089
241.0;726.0;587;1012;737.0;775;1034
978.0;0.0;24;828;0.0;22;990
514.0;350.0;406;883;320.0;443;1038
919.0;0.0;492;840;0.0;566;1012
956.0;57.0;754;1189;57.0;940;1265
78.0;455.0;756;1040;532.0;983;1102
393.0;333.0;376;887;481.0;473;1067
394.0;120.0;498;893;220.0;648;1013
704.0;191.0;781;1189;193.0;990;1273
899.0;208.0;386;936;335.0;549;1051
75.0;523.0;450;1090;527.0;721;1148
313.0;0.0;0;0;0.0;0;0
686.0;459.0;616;853;509.0;846;1001
852.0;90.0;615;1022;127.0;807;1122
293.0;634.0;345;815;720.0;659;966
207.0;483.0;170;828;564.0;419;976
294.0;475.0;392;818;568.0;720;969
764.0;9.0;754;1255;417.0;932;1370
258.0;970.0;718;1051;1001.0;910;1072
59.0;441.0;345;922;713.0;540;1068
